Model,MAE,MSE,R2_Score
Linear Regression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
Ridge Regression,82659.67244409776,10549745186.670172,0.91464526037841
Lasso Regression,82657.94662172231,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102593,15081376466.559593,0.8779812271613102
Polynomial Regression,83413.36431844089,10664698571.103325,0.9137152079436546
SGDRegressor,1.0407193449530773e+17,1.1868703948007138e+34,-9.602602880000331e+22
ANN,199221.52962233717,61469301046.70214,0.5026708140598787
Random Forest Regressor,98345.96574025163,15009227093.219788,0.8785649655233572
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
